,Sybil,id,join_date,num_comment,num_comment_on_own_post,num_friend,num_join_group,num_like_on_own_post,num_own_post,num_post_on_wall,num_reaction,num_share_on_own_post,num_tagged_post,num_used_tags,num_used_tags_commnet,num_user_tags,num_user_tags_comment,is_train
1001,0,1807941423,2001-01-01,9.0,,0.0,,,,,52.0,,2.0,,,2.0,,TRUE
1002,0,100012071382804,2001-01-01,8.0,,0.0,,,,,43.0,,1.0,,,1.0,,TRUE
1003,0,100004104992988,2001-01-01,4.0,,0.0,,,,,75.0,,1.0,,,1.0,,TRUE
1004,0,100006616176561,2001-01-01,4.0,,0.0,,,,,34.0,,3.0,,,3.0,,TRUE
1005,1,100012764500945,2001-01-01,5.0,,0.0,,,,,167.0,,1.0,,,1.0,,TRUE
1006,0,100001885047405,,5.0,,0.0,,,,,23.0,,1.0,,,1.0,,FALSE
1007,0,100010481868087,2001-01-01,10.0,,1.0,,,,,211.0,,1.0,,,2.0,,TRUE
1008,0,100022029078356,,,,,,,3.0,1.0,,,1.0,11.0,,1.0,,TRUE
1009,0,100001308322323,,3.0,,0.0,,,,,91.0,,3.0,,,3.0,,TRUE
1010,0,100002674999849,,84.0,,0.0,,,,,713.0,,2.0,,,2.0,,TRUE
1011,0,100000012521463,2001-01-01,7.0,,0.0,,,,,34.0,,2.0,,,3.0,,TRUE
1012,0,100006784447134,2001-01-01,19.0,,0.0,,,,,327.0,,5.0,,,5.0,,TRUE
1013,0,100010246143795,2001-01-01,1.0,,0.0,,,1.0,1.0,,,,,,,,TRUE
1014,0,100008213250647,2001-01-01,,,0.0,16.0,,,,13.0,,1.0,,,1.0,,TRUE
1015,0,100002786462616,2001-01-01,6.0,,0.0,,,,,53.0,,1.0,,,1.0,,FALSE
1016,0,100001817875334,2001-01-01,,,0.0,58.0,,,,18.0,,1.0,,,1.0,,FALSE
1017,0,100005074424137,2001-01-01,20.0,,0.0,,,,,954.0,,2.0,,,2.0,,TRUE
1018,0,100011114700219,2001-01-01,8.0,,1.0,,,,,40.0,,1.0,,,1.0,,TRUE
1019,0,100003633143093,2001-01-01,,,1.0,109.0,,3.0,,,,7.0,,,7.0,,TRUE
1020,0,1284212296,,24.0,,0.0,,,,,179.0,,1.0,,,1.0,2.0,TRUE
1021,0,100002355241687,2001-01-01,,,0.0,6.0,,,,20.0,,2.0,,,2.0,,FALSE
1022,0,549365761,2001-01-01,18.0,,0.0,,,,,15.0,,3.0,,,3.0,,TRUE
1023,1,100006461047157,2001-01-01,1.0,,0.0,,,1.0,1.0,,,,,,,,TRUE
1024,0,100000283125743,,19.0,,0.0,,,,,124.0,,3.0,,,3.0,,TRUE
1025,0,100003639440993,2001-01-01,3.0,,0.0,,,,,29.0,,2.0,,,2.0,,FALSE
1026,0,100009344517586,,,,,14.0,,2.0,,,,1.0,4.0,,1.0,,FALSE
1027,0,100001856927995,2001-01-01,8.0,,0.0,,,,,20.0,,1.0,,,1.0,,FALSE
1028,0,1821804177,2001-01-01,13.0,,0.0,,,,,70.0,,4.0,,,4.0,,TRUE
1029,0,1800546821,,2.0,,0.0,,,,,34.0,,1.0,,,1.0,,TRUE
1030,0,100010363683057,2001-01-01,7.0,,0.0,,,,,35.0,,1.0,,,1.0,,TRUE
1031,0,100003492447420,2001-01-01,29.0,,0.0,,,,,35.0,,1.0,,,1.0,,FALSE
1032,0,100011701607817,2001-01-01,20.0,,0.0,,,,,86.0,,7.0,,,12.0,,TRUE
1033,0,100006903641273,,,,0.0,14.0,,,,21.0,,1.0,,,1.0,,TRUE
1034,0,100003059397124,2001-01-01,1.0,,0.0,,,,,44.0,,2.0,,,2.0,,TRUE
1035,0,100003306028621,2001-01-01,7.0,,0.0,,,,,22.0,,1.0,,,1.0,,FALSE
1036,0,100006508452628,2001-01-01,18.0,,1.0,,,,,249.0,,2.0,,,2.0,,TRUE
1037,0,100002751554378,2001-01-01,3.0,,0.0,18.0,,,,,,1.0,,,1.0,,TRUE
1038,0,1091803028,,72.0,,0.0,,,,,108.0,,2.0,,,2.0,,FALSE
1039,0,100006558851963,,5.0,,0.0,,,,,25.0,,2.0,,,2.0,,TRUE
1040,0,100021577793543,,9.0,,0.0,,,,,237.0,,2.0,,,2.0,,FALSE
1041,0,100027189383719,,10.0,,,,,,,50.0,,1.0,,,1.0,,TRUE
1042,0,100005321823068,2001-01-01,22.0,,0.0,,,,,13.0,,1.0,,,1.0,,FALSE
1043,0,100006885671751,2001-01-01,,,0.0,,,,,15.0,,8.0,,,14.0,,TRUE
1044,0,100002882810805,2001-01-01,,,0.0,,,,,22.0,,1.0,,,1.0,,TRUE
1045,0,100003181347092,2001-01-01,,,0.0,,,,,200.0,,3.0,,,3.0,,TRUE
1046,0,100004097582673,2001-01-01,,,0.0,,,7.0,,,,5.0,19.0,,5.0,,TRUE
1047,0,100009543484934,2001-01-01,,,0.0,4.0,,,,,,1.0,,,1.0,,TRUE
1048,0,100003119359392,2001-01-01,,,0.0,,,2.0,,,,4.0,8.0,,4.0,,TRUE
1049,0,219814051365187,2001-01-01,,,0.0,,,,2.0,,,23.0,,,23.0,69.0,TRUE
1050,0,100004119822623,2001-01-01,,,0.0,27.0,,,,,,12.0,,,14.0,,TRUE
1051,0,100009463662073,2001-01-01,,,1.0,32.0,,,,,,5.0,,,5.0,,TRUE
1052,0,100009645424693,2001-01-01,,,0.0,,,8.0,,,,4.0,,,4.0,,TRUE
1053,0,100008281696671,2001-01-01,,,0.0,3.0,,,,,,1.0,,,1.0,,TRUE
1054,0,100009034445472,2001-01-01,,,0.0,,,12.0,,,,6.0,8.0,,6.0,,FALSE
1055,0,100006600062657,2001-01-01,,,0.0,6.0,,,,,,1.0,,,1.0,,TRUE
1056,0,100008330778054,2001-01-01,,,0.0,3.0,,,,,,1.0,,,1.0,,TRUE
1057,0,134682890212151,2001-01-01,,,0.0,,,,2.0,,,13.0,,,13.0,38.0,TRUE
1058,0,100003181254899,2001-01-01,,,0.0,,,2.0,,,,1.0,1.0,,1.0,,FALSE
1059,0,100004263967579,2001-01-01,,,0.0,29.0,,,,,,1.0,,,1.0,,TRUE
1060,0,1779050202,,,,0.0,,,,,35.0,,3.0,,,3.0,,TRUE
1061,0,100022606283293,,,,,,,1.0,1.0,2.0,,58.0,2.0,,58.0,,TRUE
1062,0,100003054261526,2001-01-01,,,0.0,3.0,,,,,,2.0,,,2.0,,TRUE
1063,0,100008102646061,2001-01-01,,,0.0,,,2.0,,,,1.0,,,1.0,,TRUE
1064,0,100003515873641,2001-01-01,,,0.0,,,,,89.0,,16.0,,,16.0,,TRUE
1065,0,100000022395219,,,,0.0,,,,,13.0,,7.0,,,7.0,,TRUE
1066,0,100001372652324,2001-01-01,,,0.0,17.0,,,,,,1.0,,,1.0,,TRUE
1067,0,100000055292772,,4.0,,0.0,,,,,,,1.0,,,1.0,,FALSE
1068,0,100004263673713,2001-01-01,,,0.0,3.0,,,,,,1.0,,,1.0,,TRUE
1069,0,100009873034974,2001-01-01,4.0,,0.0,,,,,,,1.0,,,1.0,,TRUE
1070,0,100004679803683,2001-01-01,,,0.0,3.0,,,,,,1.0,,,1.0,,TRUE
1071,0,100004963776878,2001-01-01,,,0.0,,,,,37.0,,1.0,,,1.0,,FALSE
1072,0,100004327651988,2001-01-01,,,0.0,119.0,,,,,,3.0,,,3.0,,FALSE
1073,0,100006887171247,,,,,,,2.0,,,,1.0,2.0,,1.0,,TRUE
1074,0,100003728217618,2001-01-01,,,0.0,,,6.0,,,,3.0,,,3.0,,FALSE
1075,0,100004004941643,2001-01-01,,,2.0,,,,,28.0,,5.0,,,5.0,,TRUE
1076,0,100009094806651,2001-01-01,,,0.0,5.0,,,,,,1.0,,,1.0,,TRUE
1077,0,100001574248869,,,,0.0,25.0,,,,,,1.0,,,1.0,,TRUE
1078,0,100003725806335,2001-01-01,,,0.0,,,,,18.0,,1.0,,,6.0,,TRUE
1079,0,100000195192745,,,,0.0,,,,,17.0,,1.0,,,2.0,,TRUE
1080,0,100002848698002,2001-01-01,,,0.0,,,,,14.0,,3.0,,,3.0,,TRUE
1081,0,100009609669094,2001-01-01,,,0.0,,,,,18.0,,1.0,,,1.0,,TRUE
1082,0,100003028591102,2001-01-01,,,0.0,18.0,,,,,,2.0,,,4.0,,TRUE
1083,0,100002961129927,2001-01-01,,,0.0,120.0,,,,,,4.0,,,7.0,,TRUE
1084,0,100008805635141,2001-01-01,,,1.0,,,4.0,,,,1.0,,,1.0,,TRUE
1085,0,100008424666933,2001-01-01,,,2.0,,,4.0,,,,6.0,15.0,,6.0,,TRUE
1086,0,100000856366952,2001-01-01,14.0,,0.0,,,,,,,1.0,,,1.0,,TRUE
1087,0,100001138991752,,,,0.0,,,,,13.0,,4.0,,,4.0,,FALSE
1088,0,100004774780614,2001-01-01,,,0.0,16.0,,,,,,4.0,,,4.0,,TRUE
1089,0,100003542548551,2001-01-01,,,3.0,,,,,176.0,,3.0,,,3.0,,TRUE
1090,0,100010313018048,2001-01-01,,,0.0,,,3.0,,,,3.0,10.0,,3.0,,TRUE
1091,0,100021437885334,,18.0,,0.0,,,,,,,1.0,,,1.0,,TRUE
1092,0,100003529030544,2001-01-01,,,0.0,102.0,,,,,,1.0,,,1.0,,FALSE
1093,0,100007084686837,2001-01-01,,,0.0,,,14.0,,,,17.0,57.0,,17.0,,FALSE
1094,0,100000174733777,,,,0.0,,,,,37.0,,2.0,,,2.0,,TRUE
1095,0,100004631795117,2001-01-01,,,0.0,,,,,54.0,,5.0,,,5.0,,TRUE
1096,0,100005712964266,2001-01-01,,,0.0,,,,,16.0,,1.0,,,2.0,,TRUE
